STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140202,0,0,0,178,11,16,20,20,67,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140203,376,0,-9999,100,11,59,340,340,89,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140204,13,0,0,39,-10,28,50,40,54,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140205,84,0,0,67,6,46,310,300,134,206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140206,0,0,0,33,-10,49,340,340,112,143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140207,0,0,0,67,-16,30,10,180,58,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140208,0,0,0,28,-16,19,10,360,58,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140209,0,0,3,22,-16,20,170,180,63,76,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140210,0,0,0,17,-38,53,360,360,103,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140211,0,0,0,17,-55,37,10,10,72,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140212,23,0,28,-5,-71,44,20,20,81,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140213,409,150,150,39,-27,76,20,30,116,165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140214,0,100,0,111,6,33,290,290,116,183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140215,18,80,0,44,-5,60,320,310,134,179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140216,0,50,0,33,-27,34,310,310,81,116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140217,0,30,0,33,-38,32,330,330,76,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140218,15,30,8,144,-10,36,210,220,89,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140219,30,0,0,172,17,39,300,310,103,143,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140220,0,0,0,133,28,17,170,170,76,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140221,8,0,0,206,44,22,330,330,143,192,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140222,0,0,0,178,11,39,230,240,89,112,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20140223,0,0,0,178,78,38,360,350,103,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
